lib,Category
profr,HighPerformanceComputing
proftools,HighPerformanceComputing
pvclust,HighPerformanceComputing
Rcpp,HighPerformanceComputing
Rdsm,HighPerformanceComputing
rgenoud,HighPerformanceComputing
RInside,HighPerformanceComputing
rJava,HighPerformanceComputing
rlecuyer,HighPerformanceComputing
rredis,HighPerformanceComputing
snow,HighPerformanceComputing
snowfall,HighPerformanceComputing
snowFT,HighPerformanceComputing
speedglm,HighPerformanceComputing
sqldf,HighPerformanceComputing
STAR,HighPerformanceComputing
tm,HighPerformanceComputing
varSelRF,HighPerformanceComputing
ff,HighPerformanceComputing
MonetDB.R,HighPerformanceComputing
pls,HighPerformanceComputing
RhpcBLASctl,HighPerformanceComputing
ffbase,HighPerformanceComputing
aprof,HighPerformanceComputing
GUIProfiler,HighPerformanceComputing
partDSA,HighPerformanceComputing
HistogramTools,HighPerformanceComputing
ahaz,MachineLearning
arules,MachineLearning
bigrf,MachineLearning
Boruta,MachineLearning
bst,MachineLearning
C50,MachineLearning
caret,MachineLearning
CORElearn,MachineLearning
CoxBoost,MachineLearning
Cubist,MachineLearning
e1071,MachineLearning
earth,MachineLearning
elasticnet,MachineLearning
ElemStatLearn,MachineLearning
frbs,MachineLearning
GAMBoost,MachineLearning
gamboostLSS,MachineLearning
gbm,MachineLearning
glmnet,MachineLearning
glmpath,MachineLearning
GMMBoost,MachineLearning
grplasso,MachineLearning
grpreg,MachineLearning
hda,MachineLearning
ipred,MachineLearning
kernlab,MachineLearning
klaR,MachineLearning
lars,MachineLearning
lasso2,MachineLearning
LiblineaR,MachineLearning
LogicReg,MachineLearning
maptree,MachineLearning
mboost,MachineLearning
